Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (win64) Build 2405991 Thu Dec  6 23:38:27 MST 2018
| Date         : Sat Jun 27 15:41:07 2026
| Host         : LAPTOP-476JT8H0 running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -file util_hier_stage1_mode_gating.txt
| Design       : board_demo_competition_dac8_top
| Device       : 7a35tfgg484-2
| Design State : Routed
-----------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-------------------------------------------+-----------------------------------------------+------------+------------+---------+------+------+--------+--------+--------------+
|                  Instance                 |                     Module                    | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|       u_bridge_32_to_64                   |                        bridge_to_interp2_ce_0 |         26 |         26 |       0 |    0 |   26 |      0 |      0 |            0 |
|       u_bridge_4_to_8                     |                        bridge_to_interp2_ce_1 |         27 |         27 |       0 |    0 |   26 |      0 |      0 |            0 |
|       u_bridge_64_to_128                  |                        bridge_to_interp2_ce_2 |         26 |         26 |       0 |    0 |   26 |      0 |      0 |            0 |
|       u_bridge_8_to_16                    |                        bridge_to_interp2_ce_3 |         27 |         27 |       0 |    0 |   26 |      0 |      0 |            0 |
|       u_interp2_top_128x                  |                           interp2_top_symm_ce |       1416 |       1392 |       0 |   24 |  652 |      0 |      0 |            0 |
|         (u_interp2_top_128x)              |                           interp2_top_symm_ce |        389 |        389 |       0 |    0 |    0 |      0 |      0 |            0 |
|         u_fir_core_symm_interp2           |                   fir_core_symm_interp2_v2_17 |       1064 |       1040 |       0 |   24 |  626 |      0 |      0 |            0 |
|         u_interp2_ctrl_ce                 |                            interp2_ctrl_ce_18 |          1 |          1 |       0 |    0 |   26 |      0 |      0 |            0 |
|         u_round_sat_q16_to24              |         round_sat_q16_to24__parameterized0_19 |         42 |         42 |       0 |    0 |    0 |      0 |      0 |            0 |
|       u_interp2_top_16x                   |                         interp2_top_symm_ce_4 |       1423 |       1399 |       0 |   24 |  652 |      0 |      0 |            0 |
|         (u_interp2_top_16x)               |                         interp2_top_symm_ce_4 |        389 |        389 |       0 |    0 |    0 |      0 |      0 |            0 |
|         u_fir_core_symm_interp2           |                   fir_core_symm_interp2_v2_14 |       1065 |       1041 |       0 |   24 |  626 |      0 |      0 |            0 |
|         u_interp2_ctrl_ce                 |                            interp2_ctrl_ce_15 |          2 |          2 |       0 |    0 |   26 |      0 |      0 |            0 |
|         u_round_sat_q16_to24              |         round_sat_q16_to24__parameterized0_16 |         47 |         47 |       0 |    0 |    0 |      0 |      0 |            0 |
|       u_interp2_top_32x                   |                         interp2_top_symm_ce_5 |       1423 |       1399 |       0 |   24 |  652 |      0 |      0 |            0 |
|         (u_interp2_top_32x)               |                         interp2_top_symm_ce_5 |        389 |        389 |       0 |    0 |    0 |      0 |      0 |            0 |
|         u_fir_core_symm_interp2           |                   fir_core_symm_interp2_v2_11 |       1065 |       1041 |       0 |   24 |  626 |      0 |      0 |            0 |
|         u_interp2_ctrl_ce                 |                            interp2_ctrl_ce_12 |          2 |          2 |       0 |    0 |   26 |      0 |      0 |            0 |
|         u_round_sat_q16_to24              |         round_sat_q16_to24__parameterized0_13 |         47 |         47 |       0 |    0 |    0 |      0 |      0 |            0 |
|       u_interp2_top_64x                   |                         interp2_top_symm_ce_6 |       1424 |       1400 |       0 |   24 |  652 |      0 |      0 |            0 |
|         (u_interp2_top_64x)               |                         interp2_top_symm_ce_6 |        389 |        389 |       0 |    0 |    0 |      0 |      0 |            0 |
|         u_fir_core_symm_interp2           |                    fir_core_symm_interp2_v2_8 |       1066 |       1042 |       0 |   24 |  626 |      0 |      0 |            0 |
|         u_interp2_ctrl_ce                 |                             interp2_ctrl_ce_9 |          2 |          2 |       0 |    0 |   26 |      0 |      0 |            0 |
|         u_round_sat_q16_to24              |         round_sat_q16_to24__parameterized0_10 |         47 |         47 |       0 |    0 |    0 |      0 |      0 |            0 |
|       u_interp2_top_8x                    |                         interp2_top_symm_ce_7 |       1423 |       1399 |       0 |   24 |  652 |      0 |      0 |            0 |
|         (u_interp2_top_8x)                |                         interp2_top_symm_ce_7 |        389 |        389 |       0 |    0 |    0 |      0 |      0 |            0 |
|         u_fir_core_symm_interp2           |                      fir_core_symm_interp2_v2 |       1065 |       1041 |       0 |   24 |  626 |      0 |      0 |            0 |
|         u_interp2_ctrl_ce                 |                               interp2_ctrl_ce |          2 |          2 |       0 |    0 |   26 |      0 |      0 |            0 |
|         u_round_sat_q16_to24              |            round_sat_q16_to24__parameterized0 |         47 |         47 |       0 |    0 |    0 |      0 |      0 |            0 |
|       u_interp4_top_symm_ce               |                           interp4_top_symm_ce |        560 |        560 |       0 |    0 | 1098 |      0 |      0 |            2 |
|         (u_interp4_top_symm_ce)           |                           interp4_top_symm_ce |        497 |        497 |       0 |    0 | 1098 |      0 |      0 |            2 |
|         u_round_sat_q16_to24              |                            round_sat_q16_to24 |         63 |         63 |       0 |    0 |    0 |      0 |      0 |            0 |
+-------------------------------------------+-----------------------------------------------+------------+------------+---------+------+------+--------+--------+--------------+
* Note: The sum of lower-level cells may be larger than their parent cells total, due to cross-hierarchy LUT combining


